Location,Crop,Year,Site_crop_yr,Rep,EU,Soil,Herb,CC Canopy,CYInjury,Crop Canopy,yield,Stand Count
Havelock,Soybean,2019,HAV_SB_19,3,307,Till,CL25,0,0,9.725,3591.698921,284339.0095
Havelock,Soybean,2019,HAV_SB_19,3,308,NT+CC,CTRL,5.39,0,8.2575,3663.583121,314960.1336
Havelock,Soybean,2019,HAV_SB_19,3,309,NT,ME25,0,0,9.3975,3864.973655,297462.3484
Havelock,Soybean,2019,HAV_SB_19,3,310,NT,CTRL,0,0,8.3975,3508.177107,288713.4558
Havelock,Soybean,2019,HAV_SB_19,3,311,Till,CL50,8.343333333,0,12.2425,3471.746087,284339.0095
Havelock,Soybean,2019,HAV_SB_19,3,312,NT+CC,CL25,0,0,10.92,4256.241969,310585.6873
Havelock,Soybean,2019,HAV_SB_19,3,313,Till,ME50,0,0,12.3775,3469.48755,301836.7947
Havelock,Soybean,2019,HAV_SB_19,3,314,NT+CC,ME50,0,0,9.2225,4414.251407,310585.6873
Havelock,Soybean,2019,HAV_SB_19,3,315,NT,CL25,7.48,0,8.23,3434.106403,332457.9188
Havelock,Soybean,2019,HAV_SB_19,4,401,Till,ME25,0,0,9.61,2767.830314,258092.3317
Havelock,Soybean,2019,HAV_SB_19,4,402,NT+CC,ME25,0,0,6.4125,3048.436895,192475.6372
Havelock,Soybean,2019,HAV_SB_19,4,403,NT,ME50,5.486666667,0,8.675,2907.479767,240594.5465
Havelock,Soybean,2019,HAV_SB_19,4,404,Till,CL50,0,0,8.9025,3048.75993,170603.4057
Havelock,Soybean,2019,HAV_SB_19,4,405,NT,CTRL,7.313333333,0,4.71,2604.324056,139982.2816
Havelock,Soybean,2019,HAV_SB_19,4,406,NT+CC,CL25,0,0,10.4825,3435.913663,306211.241
Havelock,Soybean,2019,HAV_SB_19,4,407,Till,CTRL,0,0,10.92,3245.476595,319334.5799
Havelock,Soybean,2019,HAV_SB_19,4,408,NT+CC,CTRL,5.083333333,0,7.0625,3647.132074,288713.4558
Havelock,Soybean,2019,HAV_SB_19,4,409,NT,ME25,0,0,9.84,2914.34285,328083.4725
Havelock,Soybean,2019,HAV_SB_19,4,410,NT,CL25,0,0,10.39,3639.594882,170603.4057
Havelock,Soybean,2019,HAV_SB_19,4,411,Till,ME50,3.89,0,8.7975,3363.520516,332457.9188
Havelock,Soybean,2019,HAV_SB_19,4,412,NT+CC,CL50,0,0,11.33,3535.151531,297462.3484
Havelock,Soybean,2019,HAV_SB_19,4,413,Till,CL25,0,0,13.5225,3279.938558,310585.6873
Havelock,Soybean,2019,HAV_SB_19,4,414,NT+CC,ME50,0,3,10.035,3810.822832,310585.6873
Havelock,Soybean,2019,HAV_SB_19,4,415,NT,CL50,4.803333333,0,9.05,3826.894606,314960.1336
Arlington,Soybean,2019,ARL_SB_19,1,101,Till,CTRL,,0,18.4575,3981.992514,3943.116791
Arlington,Soybean,2019,ARL_SB_19,1,102,NT,CTRL,,0,13.2325,3774.711918,4049.306132
Arlington,Soybean,2019,ARL_SB_19,1,103,NT+CC,CTRL,,0,12.4,3868.978922,4324.978356
Arlington,Soybean,2019,ARL_SB_19,1,104,NT,ME25,,0,10.8875,3926.7005,4337.12483
Arlington,Soybean,2019,ARL_SB_19,1,105,Till,ME25,,2,15.9575,4113.914845,4248.73792
Arlington,Soybean,2019,ARL_SB_19,1,106,NT+CC,ME25,,0,11.12,3555.062509,4096.254801
Arlington,Soybean,2019,ARL_SB_19,1,107,NT+CC,ME50,,0,9.2525,3712.546694,4351.735005
Arlington,Soybean,2019,ARL_SB_19,1,108,Till,ME50,,4,12.8825,3713.886121,4369.570675
Arlington,Soybean,2019,ARL_SB_19,1,109,NT,ME50,,0,9.7825,3650.942485,4452.84243
Arlington,Soybean,2019,ARL_SB_19,1,110,NT,CL25,,0,10.0775,3597.681171,4376.248945
Arlington,Soybean,2019,ARL_SB_19,1,111,Till,CL25,,0,14.4275,3903.311284,4445.500735
Arlington,Soybean,2019,ARL_SB_19,1,112,NT+CC,CL25,,0,9.195,3444.876895,4407.80094
Arlington,Soybean,2019,ARL_SB_19,1,113,Till,CL50,,0,15.2925,4004.111925,4373.719216
Arlington,Soybean,2019,ARL_SB_19,1,114,NT,CL50,,0,11.3775,3624.280611,4367.056218
Arlington,Soybean,2019,ARL_SB_19,1,115,NT+CC,CL50,,0,9.1925,3802.454047,4495.702747
Arlington,Soybean,2019,ARL_SB_19,2,201,Till,CL25,,0,15.97,3491.820173,4064.010184
Arlington,Soybean,2019,ARL_SB_19,2,202,NT,ME50,,0,11.265,3325.06241,3634.704964
Arlington,Soybean,2019,ARL_SB_19,2,203,NT+CC,ME25,,0,12.3625,3498.334496,4116.908118
Arlington,Soybean,2019,ARL_SB_19,2,204,NT,CL50,,0,11.0025,3455.322809,3671.467788
Arlington,Soybean,2019,ARL_SB_19,2,205,Till,CL50,,0,14.77,3408.415015,4060.16169
Arlington,Soybean,2019,ARL_SB_19,2,206,NT+CC,CTRL,,0,11.165,3224.628741,4277.875173
Arlington,Soybean,2019,ARL_SB_19,2,207,NT+CC,CL25,,0,11.205,3138.837139,4615.339361
Arlington,Soybean,2019,ARL_SB_19,2,208,Till,ME25,,2,12.51,3342.174915,4638.575859
Arlington,Soybean,2019,ARL_SB_19,2,209,NT,ME25,,0,9.175,3291.123072,4439.715866
Arlington,Soybean,2019,ARL_SB_19,2,210,NT,CTRL,,0,10.195,3353.661108,4207.528305
Arlington,Soybean,2019,ARL_SB_19,2,211,Till,ME50,,5,10.8875,3455.658788,4207.951424
Arlington,Soybean,2019,ARL_SB_19,2,212,NT+CC,CL50,,0,8.995,3181.678141,4329.241885
Arlington,Soybean,2019,ARL_SB_19,2,213,Till,CTRL,,0,12.5975,3294.56327,4358.817529
Arlington,Soybean,2019,ARL_SB_19,2,214,NT,CL25,,0,8.6825,3371.162594,4117.88192
Arlington,Soybean,2019,ARL_SB_19,2,215,NT+CC,ME50,,0,8.16,3467.898241,4073.283313
Arlington,Soybean,2019,ARL_SB_19,3,301,Till,ME25,,2,15.0575,3539.366688,4635.86736
Arlington,Soybean,2019,ARL_SB_19,3,302,NT,CL25,,0,11.825,3493.456502,4304.123361
Arlington,Soybean,2019,ARL_SB_19,3,303,NT+CC,CL25,,0,11.42,3640.187092,4633.105858
Arlington,Soybean,2019,ARL_SB_19,3,304,NT,CTRL,,0,10.86,3540.481529,4470.906728
Arlington,Soybean,2019,ARL_SB_19,3,305,Till,ME50,,6,12.455,3457.26682,4468.844136
Arlington,Soybean,2019,ARL_SB_19,3,306,NT+CC,ME50,,0,10.5475,3307.013384,5024.629984
Arlington,Soybean,2019,ARL_SB_19,3,307,NT+CC,CL50,,0,10.125,3348.680703,5082.971867
Arlington,Soybean,2019,ARL_SB_19,3,308,Till,CL25,,0,12.615,3202.917627,4928.372704
Arlington,Soybean,2019,ARL_SB_19,3,309,NT,CL50,,0,11.1575,3084.995946,4767.216548
Arlington,Soybean,2019,ARL_SB_19,3,310,NT,ME50,,0,9.395,3406.77105,4230.175043
Arlington,Soybean,2019,ARL_SB_19,3,311,Till,CTRL,,0,14.745,3555.632955,4287.064757
Arlington,Soybean,2019,ARL_SB_19,3,312,NT+CC,CTRL,,0,8.9025,3348.374369,4456.865652
Arlington,Soybean,2019,ARL_SB_19,3,313,Till,CL50,,0,15.6975,3722.575777,4560.465974
Arlington,Soybean,2019,ARL_SB_19,3,314,NT,ME25,,0,10.8575,3747.906759,4484.875936
Arlington,Soybean,2019,ARL_SB_19,3,315,NT+CC,ME25,,1,11.0925,3967.958176,4423.634207
Arlington,Soybean,2019,ARL_SB_19,4,401,Till,ME50,,1,15.1475,3545.847772,5088.303523
Arlington,Soybean,2019,ARL_SB_19,4,402,NT,ME25,,0,13.795,3685.588368,4936.745246
Arlington,Soybean,2019,ARL_SB_19,4,403,NT+CC,CL50,,0,12.275,4169.448063,5505.881345
Arlington,Soybean,2019,ARL_SB_19,4,404,NT,CL25,,0,12.925,3878.600158,4897.496711
Arlington,Soybean,2019,ARL_SB_19,4,405,Till,CL25,,0,16.1275,3745.778139,5105.164043
Arlington,Soybean,2019,ARL_SB_19,4,406,NT+CC,ME25,,0,11.5175,3523.5177,4985.902487
Arlington,Soybean,2019,ARL_SB_19,4,407,NT+CC,CL25,,0,11.4225,3697.185056,5241.212456
Arlington,Soybean,2019,ARL_SB_19,4,408,Till,CL50,,0,15.1425,3885.985872,5215.513155
Arlington,Soybean,2019,ARL_SB_19,4,409,NT,CTRL,,0,12.3375,3571.608609,5127.128939
Arlington,Soybean,2019,ARL_SB_19,4,410,NT,CL50,,0,9.92,3783.382709,4947.62416
Arlington,Soybean,2019,ARL_SB_19,4,411,Till,ME25,,1,12.815,3977.828702,4987.766545
Arlington,Soybean,2019,ARL_SB_19,4,412,NT+CC,ME50,,1,8.54,3697.598294,4873.459341
Arlington,Soybean,2019,ARL_SB_19,4,413,Till,CTRL,,0,15.6625,4199.425715,4859.290252
Arlington,Soybean,2019,ARL_SB_19,4,414,NT,ME50,,0,12.2775,4206.663203,4832.476109
Arlington,Soybean,2019,ARL_SB_19,4,415,NT+CC,CTRL,,0,13.1775,4622.23997,4718.780676
Lancaster,Soybean,2019,LAN_SB_19,1,101,Till,CTRL,0,1,16.07,5009.87546,288713.4558
Lancaster,Soybean,2019,LAN_SB_19,1,102,NT,CTRL,0,1,10.2125,3925.749362,262466.778
Lancaster,Soybean,2019,LAN_SB_19,1,103,NT+CC,CTRL,34.87666667,1,7.1075,3758.718081,196850.0835
Lancaster,Soybean,2019,LAN_SB_19,1,104,NT,ME25,0,2,11.7675,4327.286224,223096.7613
Lancaster,Soybean,2019,LAN_SB_19,1,105,Till,ME25,0,5,12.805,4057.560494,227471.2076
Lancaster,Soybean,2019,LAN_SB_19,1,106,NT+CC,ME25,31.61333333,3,9.9525,4017.853977,227471.2076
Lancaster,Soybean,2019,LAN_SB_19,1,107,NT+CC,ME50,35.91666667,3,10.2275,4098.255707,266841.2243
Lancaster,Soybean,2019,LAN_SB_19,1,108,Till,ME50,0,5,12.6625,4863.052363,275590.1169
Lancaster,Soybean,2019,LAN_SB_19,1,109,NT,ME50,0,5,11.0075,4568.691912,266841.2243
Lancaster,Soybean,2019,LAN_SB_19,1,110,NT,CL25,0,4,11.695,4393.151816,201224.5298
Lancaster,Soybean,2019,LAN_SB_19,1,111,Till,CL25,0,2,13.2375,4500.754602,249343.4391
Lancaster,Soybean,2019,LAN_SB_19,1,112,NT+CC,CL25,38.99333333,2,8.64,3934.795008,188101.1909
Lancaster,Soybean,2019,LAN_SB_19,1,113,Till,CL50,0,2,14.575,3850.130896,262466.778
Lancaster,Soybean,2019,LAN_SB_19,1,114,NT,CL50,0,2,12.34,4913.229143,244968.9928
Lancaster,Soybean,2019,LAN_SB_19,1,115,NT+CC,CL50,51.77,2,12.3125, ,240594.5465
Lancaster,Soybean,2019,LAN_SB_19,2,201,Till,CL25,0,0,14.715,4569.196756,271215.6706
Lancaster,Soybean,2019,LAN_SB_19,2,202,NT,ME50,0,1,5.9575,4555.10142,214347.8687
Lancaster,Soybean,2019,LAN_SB_19,2,203,NT+CC,ME25,45.36666667,2,8.1875,4591.55345,205598.9761
Lancaster,Soybean,2019,LAN_SB_19,2,204,NT,ME25,0,1,10.1275,5170.124267,214347.8687
Lancaster,Soybean,2019,LAN_SB_19,2,205,Till,CL50,0,1,10.5725,4107.105589,249343.4391
Lancaster,Soybean,2019,LAN_SB_19,2,206,NT+CC,CTRL,33.8,1,7.5275,3606.069459,183726.7446
Lancaster,Soybean,2019,LAN_SB_19,2,207,NT+CC,CL50,37.40666667,1,9.7775,4336.925371,266841.2243
Lancaster,Soybean,2019,LAN_SB_19,2,208,Till,ME25,0,1,12.4825,5042.401008,258092.3317
Lancaster,Soybean,2019,LAN_SB_19,2,209,NT,CL50,0,2,10.6525,5048.187697,205598.9761
Lancaster,Soybean,2019,LAN_SB_19,2,210,NT,CTRL,0,0,12.35,5149.855443,227471.2076
Lancaster,Soybean,2019,LAN_SB_19,2,211,Till,CTRL,0,0,12.425,5880.226825,223096.7613
Lancaster,Soybean,2019,LAN_SB_19,2,212,NT+CC,CL25,37.53666667,3,9.015,5528.152408,205598.9761
Lancaster,Soybean,2019,LAN_SB_19,2,213,Till,ME50,0,2,15.0725,4082.734032,236220.1002
Lancaster,Soybean,2019,LAN_SB_19,2,214,NT,CL25,0,1,10.9225,3961.305492,236220.1002
Lancaster,Soybean,2019,LAN_SB_19,2,215,NT+CC,ME50,49.81333333,2,11.1525,5116.458166,271215.6706
Lancaster,Soybean,2019,LAN_SB_19,3,301,Till,ME25,0,0,13.82,5262.093496,262466.778
Lancaster,Soybean,2019,LAN_SB_19,3,302,NT,CL25,0,1,8.1975,4369.711389,209973.4224
Lancaster,Soybean,2019,LAN_SB_19,3,303,NT+CC,ME25,34.78666667,2,5.265,4869.372509,179352.2983
Lancaster,Soybean,2019,LAN_SB_19,3,304,NT,CTRL,0,0,9.63,4753.348518,218722.315
Lancaster,Soybean,2019,LAN_SB_19,3,305,Till,ME50,0,5,11.2475,5059.476842,209973.4224
Lancaster,Soybean,2019,LAN_SB_19,3,306,NT+CC,CL25,30.29,1,11.07,3622.669154,205598.9761
Lancaster,Soybean,2019,LAN_SB_19,3,307,NT+CC,CL50,37.88,1,8.18,3555.786865,227471.2076
Lancaster,Soybean,2019,LAN_SB_19,3,308,Till,CL25,0,0,14.5875,4550.74977,223096.7613
Lancaster,Soybean,2019,LAN_SB_19,3,309,NT,CL50,0,1,10.1125,4211.866547,192475.6372
Lancaster,Soybean,2019,LAN_SB_19,3,310,NT,ME50,0,1,10.7325,4910.872914,236220.1002
Lancaster,Soybean,2019,LAN_SB_19,3,311,Till,CTRL,0,0,14.935,5180.690945,258092.3317
Lancaster,Soybean,2019,LAN_SB_19,3,312,NT+CC,CTRL,34.66333333,1,9.35,3880.617542,209973.4224
Lancaster,Soybean,2019,LAN_SB_19,3,313,Till,CL50,0,1,15.2225,5064.899853,244968.9928
Lancaster,Soybean,2019,LAN_SB_19,3,314,NT,ME25,0,1,11.62,4264.1871,258092.3317
Lancaster,Soybean,2019,LAN_SB_19,3,315,NT+CC,ME50,47.33,1,11.6525,4150.519458,240594.5465
Lancaster,Soybean,2019,LAN_SB_19,4,401,Till,ME50,0,5,11.02,6501.242417,231845.6539
Lancaster,Soybean,2019,LAN_SB_19,4,402,NT,ME25,0,1,6.075,4788.688823,262466.778
Lancaster,Soybean,2019,LAN_SB_19,4,403,NT+CC,CL50,34.44333333,1,5.545,5451.25756,240594.5465
Lancaster,Soybean,2019,LAN_SB_19,4,404,NT,CL25,0,1,11.91,5978.659182,196850.0835
Lancaster,Soybean,2019,LAN_SB_19,4,405,Till,CL25,0,1,13.5275,5067.273856,223096.7613
Lancaster,Soybean,2019,LAN_SB_19,4,406,NT+CC,ME25,27.44666667,1,10.13,5671.46427,227471.2076
Lancaster,Soybean,2019,LAN_SB_19,4,407,NT+CC,CL25,43.67333333,2,8.7975,4784.083026,236220.1002
Lancaster,Soybean,2019,LAN_SB_19,4,408,Till,CL50,0,0,13.725,5294.474743,236220.1002
Lancaster,Soybean,2019,LAN_SB_19,4,409,NT,CTRL,0,1,11.105,6009.800657,240594.5465
Lancaster,Soybean,2019,LAN_SB_19,4,410,NT,CL50,0,1,8.4825,6065.722395,209973.4224
Lancaster,Soybean,2019,LAN_SB_19,4,411,Till,ME25,0,1,14.165,5889.887647,249343.4391
Lancaster,Soybean,2019,LAN_SB_19,4,412,NT+CC,CTRL,34.85333333,1,9.8425,5661.834974,223096.7613
Lancaster,Soybean,2019,LAN_SB_19,4,413,Till,CTRL,0,1,14.645,5889.325028,249343.4391
Lancaster,Soybean,2019,LAN_SB_19,4,414,NT,ME50,0,1,12.3175,5466.286751,231845.6539
Lancaster,Soybean,2019,LAN_SB_19,4,415,NT+CC,ME50,39.75,1,13.06,4378.767379,275590.1169
Havelock,Soybean,2020,HAV_SB_20,1,101,Till,CTRL,,0,5.655,2216.920353,244968.9928
Havelock,Soybean,2020,HAV_SB_20,1,102,NT,CTRL,,0,8.315,2997.884248,293087.9021
Havelock,Soybean,2020,HAV_SB_20,1,103,NT+CC,CTRL,26.28,0,7.77,3108.772503,253717.8854
Havelock,Soybean,2020,HAV_SB_20,1,104,NT,ME25,,0,8.985,3077.306729,258092.3317
Havelock,Soybean,2020,HAV_SB_20,1,105,NT+CC,ME25,26.42333333,0,8.6225,3155.941358,301836.7947
Havelock,Soybean,2020,HAV_SB_20,1,106,Till,ME25,,0,8.98,3288.64181,284339.0095
Havelock,Soybean,2020,HAV_SB_20,1,107,NT,ME50,,0,6.765,3357.291367,258092.3317
Havelock,Soybean,2020,HAV_SB_20,1,108,Till,ME50,,0,7.3525,3505.100247,279964.5632
Havelock,Soybean,2020,HAV_SB_20,1,109,NT+CC,ME50,30.02666667,0,7.62,3311.218092,279964.5632
Havelock,Soybean,2020,HAV_SB_20,1,110,NT+CC,CL25,35.50666667,0,8.863333333,3138.950379,266841.2243
Havelock,Soybean,2020,HAV_SB_20,1,111,Till,CL25,,0,10.24,3283.259005,288713.4558
Havelock,Soybean,2020,HAV_SB_20,1,112,NT,CL25,,0,4.7675,3118.917681,236220.1002
Havelock,Soybean,2020,HAV_SB_20,1,113,Till,CL50,,5,8.375,3284.575268,258092.3317
Havelock,Soybean,2020,HAV_SB_20,1,114,NT+CC,CL50,28.62,7,8.1125,3128.580904,314960.1336
Havelock,Soybean,2020,HAV_SB_20,1,115,NT,CL50,,2,7.9275,3063.591378,336832.3651
Havelock,Soybean,2020,HAV_SB_20,2,201,Till,ME25,,0,7.295,2482.226519,275590.1169
Havelock,Soybean,2020,HAV_SB_20,2,202,NT,ME25,,0,4.7925,2461.424551,227471.2076
Havelock,Soybean,2020,HAV_SB_20,2,203,NT+CC,ME50,33.3,0,6.2175,3072.135391,275590.1169
Havelock,Soybean,2020,HAV_SB_20,2,204,NT,CTRL,,0,7.33,2832.929599,214347.8687
Havelock,Soybean,2020,HAV_SB_20,2,205,NT+CC,CTRL,27.27,0,7.1675,2988.311081,279964.5632
Havelock,Soybean,2020,HAV_SB_20,2,206,Till,CL50,,23,6.6825,2858.849098,231845.6539
Havelock,Soybean,2020,HAV_SB_20,2,207,NT,CL25,,8,8.205,2914.017232,275590.1169
Havelock,Soybean,2020,HAV_SB_20,2,208,Till,CL25,,2,7.85,3224.663111,209973.4224
Havelock,Soybean,2020,HAV_SB_20,2,209,NT+CC,CL25,30.33333333,3,6.005,2905.627625,262466.778
Havelock,Soybean,2020,HAV_SB_20,2,210,NT+CC,CL50,34.82,20,4.7625,3117.307373,236220.1002
Havelock,Soybean,2020,HAV_SB_20,2,211,Till,ME50,,0,6.2025,3229.313965,293087.9021
Havelock,Soybean,2020,HAV_SB_20,2,212,NT,CL50,,12,6.0825,3330.322742,236220.1002
Havelock,Soybean,2020,HAV_SB_20,2,213,Till,CTRL,,0,9.7575,3099.436476,279964.5632
Havelock,Soybean,2020,HAV_SB_20,2,214,NT+CC,ME25,35.31666667,0,5.7175,3057.65815,227471.2076
Havelock,Soybean,2020,HAV_SB_20,2,215,NT,ME50,,0,8.35,3448.719041,266841.2243
Havelock,Soybean,2020,HAV_SB_20,3,301,Till,ME50,,0,8.5925,2737.173441,288713.4558
Havelock,Soybean,2020,HAV_SB_20,3,302,NT,ME50,,0,4.7025,2626.182396,218722.315
Havelock,Soybean,2020,HAV_SB_20,3,303,NT+CC,CL25,31.89666667,0,8.6675,2537.804925,249343.4391
Havelock,Soybean,2020,HAV_SB_20,3,304,NT,CL50,,4,4.78,2745.252303,214347.8687
Havelock,Soybean,2020,HAV_SB_20,3,305,NT+CC,CL50,31.63666667,6,6.6675,3116.663732,266841.2243
Havelock,Soybean,2020,HAV_SB_20,3,306,Till,CTRL,,0,8.75,3332.430754,262466.778
Havelock,Soybean,2020,HAV_SB_20,3,307,NT,ME25,,0,8.095,3228.808194,271215.6706
Havelock,Soybean,2020,HAV_SB_20,3,308,Till,ME25,,0,8.5825,3406.347064,218722.315
Havelock,Soybean,2020,HAV_SB_20,3,309,NT+CC,ME25,27.67333333,0,7.28,3419.032715,271215.6706
Havelock,Soybean,2020,HAV_SB_20,3,310,NT+CC,ME50,22.83666667,0,4.955,3052.22292,240594.5465
Havelock,Soybean,2020,HAV_SB_20,3,311,Till,CL50,,0,8.1325,3512.102905,306211.241
Havelock,Soybean,2020,HAV_SB_20,3,312,NT,CTRL,,0,6.5825,3475.86362,188101.1909
Havelock,Soybean,2020,HAV_SB_20,3,313,Till,CL25,,8,9.85,3417.573868,279964.5632
Havelock,Soybean,2020,HAV_SB_20,3,314,NT+CC,CTRL,25.00333333,0,8.3825,3350.389967,297462.3484
Havelock,Soybean,2020,HAV_SB_20,3,315,NT,CL25,,0,7.4125,3203.299239,293087.9021
Havelock,Soybean,2020,HAV_SB_20,4,401,Till,CL50,,6,7.32,2807.674719,266841.2243
Havelock,Soybean,2020,HAV_SB_20,4,402,NT,CL25,,0,7.9725,3148.523814,249343.4391
Havelock,Soybean,2020,HAV_SB_20,4,403,NT+CC,CL50,26.37666667,4,7.9375,3128.388071,288713.4558
Havelock,Soybean,2020,HAV_SB_20,4,404,NT,ME50,,0,8.1525,3117.037552,297462.3484
Havelock,Soybean,2020,HAV_SB_20,4,405,NT+CC,ME50,38.75333333,0,6.37,3169.789412,293087.9021
Havelock,Soybean,2020,HAV_SB_20,4,406,Till,CL25,,0,10.3775,3673.652604,244968.9928
Havelock,Soybean,2020,HAV_SB_20,4,407,NT,CTRL,,0,9.985,3116.790337,275590.1169
Havelock,Soybean,2020,HAV_SB_20,4,408,Till,CTRL,,0,8.6475,3512.780652,205598.9761
Havelock,Soybean,2020,HAV_SB_20,4,409,NT+CC,CTRL,29.6,0,7.815,3325.136719,323709.0262
Havelock,Soybean,2020,HAV_SB_20,4,410,NT+CC,ME25,31.22,0,7.195,3405.155487,310585.6873
Havelock,Soybean,2020,HAV_SB_20,4,411,Till,ME25,,0,11.6125,3404.150468,144356.7279
Havelock,Soybean,2020,HAV_SB_20,4,412,NT,ME25,,0,8.15,3430.533013,240594.5465
Havelock,Soybean,2020,HAV_SB_20,4,413,Till,ME50,,0,10.025,3298.381379,266841.2243
Havelock,Soybean,2020,HAV_SB_20,4,414,NT+CC,CL25,32.47,0,7.5025,3561.897039,240594.5465
Havelock,Soybean,2020,HAV_SB_20,4,415,NT,CL50,,12,8.6625,3243.350981,310585.6873
Arlington,Soybean,2020,ARL_SB_20,1,101,Till,ME50,,0,17.56,3520.639992,293087.9021
Arlington,Soybean,2020,ARL_SB_20,1,102,NT+CC,CL25,13.12333333,0,21.7175,3615.451904,249343.4391
Arlington,Soybean,2020,ARL_SB_20,1,103,NT,CL50,,0,19.675,3861.587818,231845.6539
Arlington,Soybean,2020,ARL_SB_20,1,104,Till,CL50,,0,22.745,3872.432884,249343.4391
Arlington,Soybean,2020,ARL_SB_20,1,105,NT+CC,ME50,38.53666667,0,21.1375,3793.516,271215.6706
Arlington,Soybean,2020,ARL_SB_20,1,106,Till,ME25,,0,21.0575,3657.370358,236220.1002
Arlington,Soybean,2020,ARL_SB_20,1,107,NT,ME50,,0,22.69,3885.477683,262466.778
Arlington,Soybean,2020,ARL_SB_20,1,108,NT+CC,CTRL,33.33333333,0,19.0025,3901.402389,266841.2243
Arlington,Soybean,2020,ARL_SB_20,1,109,NT,ME25,,0,23.6625,3975.75217,253717.8854
Arlington,Soybean,2020,ARL_SB_20,1,110,NT+CC,CL50,29.94666667,0,19.49,3907.36513,258092.3317
